"person_id","first_name","last_name","date_of_birth","gender","address","postal_code","city","country","created_at","updated_at"
1,Arthur,Duval,1993-10-05,Male,"48 Allée des Acacias","93296",Strasbourg,France,2026-03-28 07:45:13.786,2026-03-28 07:45:13.786
2,Noah,David,2002-05-05,Male,"116 Route de Lyon","17026",Saint-Étienne,France,2026-03-28 07:45:13.786,2026-03-28 07:45:13.786
3,Marie,Roussel,1957-04-27,Female,"130 Allée des Acacias","63626",Bordeaux,France,2026-03-28 07:45:13.786,2026-03-28 07:45:13.786
4,Manon,Lemaire,2002-03-03,Female,"57 Avenue de la République","14285",Le Havre,France,2026-03-28 07:45:13.786,2026-03-28 07:45:13.786
5,Émilie,Marchand,1976-03-25,Female,"127 Chemin des Vignes","76952",Reims,France,2026-03-28 07:45:13.786,2026-03-28 07:45:13.786
6,Liam,Leroy,1974-09-27,Male,"127 Chemin des Vignes","76952",Reims,France,2026-03-28 07:45:13.786,2026-03-28 07:45:13.786
7,Georges,Lemaire,1967-07-04,Male,"64 Avenue de la République","14224",Rennes,France,2026-03-28 07:45:13.786,2026-03-28 07:45:13.786
8,Laura,David,1951-08-28,Female,"116 Route de Lyon","17026",Saint-Étienne,France,2026-03-28 07:45:13.786,2026-03-28 07:45:13.786
9,Julie,Lefebvre,1966-04-26,Female,"137 Avenue de la République","88231",Nantes,France,2026-03-28 07:45:13.786,2026-03-28 07:45:13.786
10,Lucas,Michel,1977-10-09,Male,"127 Chemin des Vignes","76952",Reims,France,2026-03-28 07:45:13.786,2026-03-28 07:45:13.786
11,Louis,Garnier,1947-05-28,Male,"34 Rue Victor Hugo","29168",Reims,France,2026-03-28 07:45:13.786,2026-03-28 07:45:13.786
12,Émilie,Blanc,2002-03-19,Female,"107 Impasse des Lilas","69243",Rennes,France,2026-03-28 07:45:13.786,2026-03-28 07:45:13.786
13,Jules,Moreau,1991-09-24,Male,"95 Allée des Acacias","73968",Toulon,France,2026-03-28 07:45:13.786,2026-03-28 07:45:13.786
14,Jeanne,Martin,1951-12-15,Female,"92 Avenue des Champs-Élysées","80048",Reims,France,2026-03-28 07:45:13.786,2026-03-28 07:45:13.786
15,Claire,Chevalier,1967-08-09,Female,"87 Chemin des Vignes","85750",Nice,France,2026-03-28 07:45:13.786,2026-03-28 07:45:13.786
16,Liam,Roussel,1983-11-25,Male,"118 Rue de la Paix","26284",Lyon,France,2026-03-28 07:45:13.786,2026-03-28 07:45:13.786
17,Léon,Perrin,1940-07-07,Male,"130 Allée des Acacias","63626",Bordeaux,France,2026-03-28 07:45:13.786,2026-03-28 07:45:13.786
18,Julie,Leclerc,1951-11-12,Female,"43 Rue de la Paix","61949",Nantes,France,2026-03-28 07:45:13.786,2026-03-28 07:45:13.786
19,Lucie,Dupont,1994-11-03,Female,"55 Allée des Acacias","20215",Paris,France,2026-03-28 07:45:13.786,2026-03-28 07:45:13.786
20,Liam,Dupont,2006-11-15,Male,"88 Avenue des Champs-Élysées","65353",Reims,France,2026-03-28 07:45:13.786,2026-03-28 07:45:13.786
21,Émile,Petit,1969-07-03,Male,"27 Place de la Mairie","58177",Lyon,France,2026-03-28 07:45:13.786,2026-03-28 07:45:13.786
22,Nathalie,Duval,1957-11-22,Female,"145 Rue de la Paix","89995",Bordeaux,France,2026-03-28 07:45:13.786,2026-03-28 07:45:13.786
23,Léon,Noel,1967-11-24,Male,"114 Rue Victor Hugo","21362",Strasbourg,France,2026-03-28 07:45:13.786,2026-03-28 07:45:13.786
24,Louis,Leroy,1989-06-14,Male,"64 Avenue de la République","94491",Marseille,France,2026-03-28 07:45:13.786,2026-03-28 07:45:13.786
25,Antoine,Moreau,1976-12-01,Male,"95 Allée des Acacias","73968",Toulon,France,2026-03-28 07:45:13.786,2026-03-28 07:45:13.786
26,Camille,Thomas,1970-08-13,Female,"19 Chemin des Vignes","11581",Montpellier,France,2026-03-28 07:45:13.786,2026-03-28 07:45:13.786
27,Chloé,Lefebvre,1989-10-14,Female,"45 Allée des Acacias","19567",Rennes,France,2026-03-28 07:45:13.786,2026-03-28 07:45:13.786
28,Liam,Petit,1941-05-07,Male,"102 Chemin des Vignes","47550",Paris,France,2026-03-28 07:45:13.786,2026-03-28 07:45:13.786
